City, Min 1, Max 1, Min 2, Max 2, Min 3, Max 3, Min 4, Max 4, Min 5, Max 5, Min Avg, Max Avg
"Anchorage, Alaska", 9.29 , 17.61 , 12.45 , 17.87 , 10.77 , 16.93 , 10.12 , 15.10 , 9.50 , 16.67 ,10.43 ,16.84 
"Buenos Aires, Argentia", 8.99 , 15.63 , 7.45 , 16.91 , 8.46 , 17.24 , 10.42 , 17.79 , 12.43 , 20.09 ,9.55 ,17.53 
"Sao Jose dos Campos, Brazil", 15.92 , 33.39 , 16.61 , 33.55 , 18.42 , 26.95 , 17.00 , 30.02 , 16.55 , 32.37 ,16.90 ,31.26 
"San Jose, Costa Rica", 20.23 , 26.97 , 20.33 , 25.91 , 20.15 , 26.25 , 19.32 , 26.13 , 19.35 , 25.30 ,19.88 ,26.11 
"Nanaimo, Canada", 13.48 , 21.47 , 14.66 , 20.97 , 14.23 , 20.42 , 13.60 , 20.88 , 11.76 , 18.86 ,13.55 ,20.52 
"Ningbo, China", 23.00 , 30.40 , 23.05 , 29.32 , 23.60 , 29.76 , 22.68 , 28.43 , 23.13 , 27.51 ,23.09 ,29.08 
"Giza, Egypt", 19.70 , 35.72 , 20.23 , 34.85 , 21.23 , 36.35 , 20.70 , 33.70 , 21.03 , 34.33 ,20.58 ,34.99 
"Mannheim, Germany", 6.38 , 23.12 , 14.32 , 24.84 , 11.32 , 25.83 , 14.15 , 24.11 , 10.58 , 26.18 ,11.35 ,24.82 
"Hyderabad, India", 22.28 , 29.53 , 21.97 , 29.02 , 21.81 , 29.51 , 22.04 , 29.12 , 21.75 , 29.20 ,21.97 ,29.28 
"Tehran, Iran", 18.79 , 29.66 , 18.08 , 28.44 , 16.48 , 27.05 , 17.19 , 26.69 , 16.72 , 27.80 ,17.45 ,27.93 
"Bishkek, Kyrgyzstan", 8.52 , 24.61 , 10.09 , 25.87 , 13.74 , 26.23 , 12.22 , 19.95 , 10.35 , 21.07 ,10.98 ,23.55 
"Riga, Latvia", 12.64 , 21.00 , 10.90 , 21.25 , 12.09 , 17.72 , 10.02 , 15.68 , 8.88 , 14.92 ,10.91 ,18.11 
"Quetta, Pakistan", 15.87 , 34.16 , 16.14 , 33.93 , 16.54 , 33.86 , 16.39 , 32.02 , 13.52 , 31.65 ,15.69 ,33.12 
"Warsaw, Poland", 10.86 , 24.02 , 12.78 , 23.41 , 13.04 , 22.07 , 11.25 , 18.48 , 9.27 , 20.36 ,11.44 ,21.67 
"Dhahran, Saudia Arabia", 26.76 , 40.57 , 26.90 , 40.43 , 25.99 , 40.20 , 25.09 , 40.95 , 25.32 , 39.51 ,26.01 ,40.33 
"Madrid, Spain", 12.19 , 26.37 , 13.52 , 29.07 , 16.60 , 24.02 , 15.48 , 23.72 , 15.55 , 24.24 ,14.67 ,25.48 
"Oldham, United Kingdom", 11.49 , 16.14 , 10.38 , 21.20 , 8.71 , 17.42 , 6.77 , 19.74 , 9.39 , 20.92 ,9.35 ,19.08 
